0,1670240928.1714687,S
1,1670240967.3273065,F
2,1670241020.7707283,S
3,1670241060.4892428,F
4,1670241113.9643366,F
5,1670241167.5022922,F
6,1670241221.080267,S
7,1670241253.6760404,S
8,1670241294.6373255,F
9,1670241348.1995888,S
10,1670241369.5072684,F
11,1670241423.1938899,F
12,1670241476.875853,F
13,1670241530.508019,F
14,1670241583.938061,S
15,1670241613.9315436,F
16,1670241667.4714923,S
17,1670241701.3094366,S
18,1670241736.049464,F
19,1670241789.7192752,S
20,1670241823.2019143,F
21,1670241876.7830176,F
22,1670241930.2998626,F
23,1670241983.8214335,S
24,1670242028.109757,F
25,1670242081.7535362,F
26,1670242135.326443,F
27,1670242188.8520827,S
28,1670242229.5443802,S
29,1670242276.372535,F
30,1670242329.9485126,F
31,1670242383.6562114,F
32,1670242437.1397583,S
33,1670242460.143188,S
34,1670242496.5101185,S
35,1670242517.1263056,S
36,1670242534.9344602,F
37,1670242588.6956277,S
38,1670242621.598036,F
39,1670242675.2165234,S
40,1670242692.7167814,S
41,1670242741.155545,F
42,1670242794.9020345,S
43,1670242813.0747373,F
44,1670242866.8354518,S
45,1670242898.8349628,S
46,1670242916.6453671,F
47,1670242970.4431233,F
48,1670243024.1119168,S
49,1670243070.036188,S
50,1670243091.3333573,S
51,1670243137.6880512,S
52,1670243167.3088331,S
53,1670243190.6420703,S
54,1670243208.9323523,F
55,1670243262.8273642,S
56,1670243300.5447805,S
57,1670243319.38935,F
58,1670243373.152893,S
59,1670243406.4262526,F
60,1670243460.1918178,S
61,1670243503.211296,S
62,1670243523.2036986,S
63,1670243541.8066065,S
64,1670243560.5468643,S
65,1670243602.1953156,S
66,1670243650.9494736,S
67,1670243685.499103,F
68,1670243739.3597374,S
69,1670243782.6301205,S
70,1670243825.9433975,S
71,1670243870.35856,S
72,1670243896.2787774,S
73,1670243928.2029257,F
74,1670243982.1703172,F
75,1670244036.082027,F
76,1670244089.8592463,S
77,1670244133.7947395,S
78,1670244185.07436,F
79,1670244238.8345027,F
80,1670244292.6166155,S
81,1670244319.8129766,S
82,1670244363.808936,S
83,1670244388.140113,S
84,1670244434.7446806,S
85,1670244467.6771936,S
86,1670244492.6449785,F
