0,1670253785.50659,S
1,1670253808.545699,F
2,1670253862.3171237,S
3,1670253890.550136,F
4,1670253944.3832202,F
5,1670253998.260777,F
6,1670254052.1492188,S
7,1670254086.2098203,F
8,1670254140.0615478,F
9,1670254193.9162436,F
10,1670254247.7962263,F
11,1670254301.602331,S
12,1670254337.1083343,F
13,1670254391.141398,F
14,1670254445.0120747,S
15,1670254488.5787039,F
16,1670254542.354615,F
17,1670254596.1343775,S
18,1670254620.8786027,F
19,1670254674.732709,S
20,1670254707.666501,S
21,1670254743.8500803,S
22,1670254780.6561787,S
23,1670254812.0992928,S
24,1670254845.749009,S
25,1670254878.8654556,F
26,1670254932.837522,F
27,1670254986.749821,F
28,1670255040.597447,S
29,1670255076.6019084,F
30,1670255130.354145,S
31,1670255161.570631,F
32,1670255215.2790177,F
33,1670255269.1643445,S
34,1670255300.1138723,S
35,1670255333.5847902,F
36,1670255387.500806,S
37,1670255423.1783943,F
38,1670255477.05577,F
39,1670255530.9773595,S
40,1670255566.6181066,S
41,1670255602.1592016,S
42,1670255639.954678,S
43,1670255686.173686,S
44,1670255719.9799995,F
45,1670255773.8552647,F
46,1670255827.6979685,F
47,1670255881.5343642,S
48,1670255916.0612779,S
49,1670255953.3588154,S
50,1670255990.0816476,S
51,1670256042.655065,F
52,1670256096.4153244,F
53,1670256150.3023942,S
54,1670256193.8326356,F
55,1670256252.8554175,S
56,1670256291.8697047,S
57,1670256327.3975086,F
58,1670256381.229346,F
59,1670256435.097629,F
60,1670256489.1211202,S
61,1670256527.7814946,S
62,1670256551.3670907,S
63,1670256588.725741,F
64,1670256642.7424629,S
65,1670256686.2972667,F
66,1670256740.2278905,S
67,1670256767.677048,S
68,1670256806.267109,F
69,1670256860.2277117,F
70,1670256914.1274967,F
71,1670256968.038066,F
72,1670257021.9306684,F
73,1670257075.781873,F
74,1670257129.6215377,S
75,1670257162.6426284,S
76,1670257203.9901392,F
77,1670257257.8686762,S
78,1670257300.0269434,F
79,1670257353.8474965,F
