0,1670399210.2487316,F
1,1670399263.5989852,F
2,1670399317.0804434,F
3,1670399370.4206853,F
4,1670399423.5477364,S
5,1670399444.524348,S
6,1670399472.2383475,S
7,1670399502.3774006,S
8,1670399530.2001665,S
9,1670399559.4855893,F
10,1670399613.0874465,F
11,1670399666.5236566,S
12,1670399708.6443017,F
13,1670399762.0147214,S
14,1670399813.6071427,F
15,1670399867.0576446,F
16,1670399920.5678613,S
17,1670399938.2293134,F
18,1670399991.7524195,S
19,1670400009.5537643,S
20,1670400041.2870126,F
21,1670400094.8800147,F
22,1670400148.4057472,F
23,1670400201.9280586,S
24,1670400247.736872,S
25,1670400275.9288871,S
26,1670400307.8768947,S
27,1670400324.1984718,F
28,1670400377.9044733,F
29,1670400431.385803,S
30,1670400464.5681057,S
31,1670400485.6877398,S
32,1670400529.4374828,S
33,1670400568.6775146,S
34,1670400585.098129,F
35,1670400638.6957731,F
36,1670400692.278462,F
37,1670400745.8674788,F
38,1670400799.4403749,F
39,1670400852.9571722,F
40,1670400906.725016,S
41,1670400938.264465,F
42,1670400991.9753098,F
